ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): ALABAMA ARKANSAS DELAWARE FLORIDA GEORGIA KENTUCKY LOUISIANA MARYLAND MISSISSIPPI NORTH CAROLINA OKLAHOMA SOUTH CAROLINA TENNESSEE TEXAS VIRGINIA WEST VIRGINIA

School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,School-wide Title I [Public School] 2002-03,Total Students All Grades (Excludes AE) [Public School] 2002-03,Free and Reduced Lunch Students [Public School] 2002-03,Male Students [Public School] 2002-03,Female Students [Public School] 2002-03,American Indian/Alaska Native Students [Public School] 2002-03,Asian or Asian/Pacific Islander Students [Public School] 2002-03,Black or African American Students [Public School] 2002-03,Hispanic Students [Public School] 2002-03,White Students [Public School] 2002-03,Pupil/Teacher Ratio [Public School] 2002-03,Full-Time Equivalent (FTE) Teachers [Public School] 2002-03
3D ACADEMY                                        ,Texas,TX ,482364008619,4823640,1-Yes,138,116,67,71,="0",="0",32,103,3,–,="0.00"
6TH GRADE CENTER,Texas,TX ,482172005738,4821720,1-Yes,760,449,377,383,4,4,213,158,381,16.00,47.40
7TH AND 8TH GRADE ACADEMY,Oklahoma,OK ,402097000599,4020970,1-Yes,775,499,422,353,249,6,178,20,322,15.50,50.00
9TH GRADE ACADEMY - HHS,Mississippi,MS ,280180000309,2801800,†,387,334,204,183,1,3,334,="0",49,13.70,28.30
A & M CONS H S,Texas,TX ,480735000001,4807350,†,2177,279,1149,1028,1,153,231,193,1599,16.90,128.80
A & M CONSOLIDATED MIDDLE,Texas,TX ,480735008712,4807350,†,537,98,280,257,="0",47,58,67,365,15.30,35.00
A B CHANDLER ELEMENTARY SCHOOL,Kentucky,KY ,210271000573,2102710,1-Yes,281,227,137,144,="0",="0",13,="0",268,13.30,21.20
A B DUNCAN EL,Texas,TX ,481944001801,4819440,1-Yes,281,222,151,130,="0",="0",12,219,50,17.20,16.30
A B HILL ELEMENTARY,Tennessee,TN ,470294001011,4702940,1-Yes,610,–,†,†,–,–,–,–,–,–,–
A B MCBAY EL,Texas,TX ,483042003424,4830420,1-Yes,647,475,335,312,1,3,223,160,260,14.20,45.70
A C BLUNT MIDDLE,Texas,TX ,480858000225,4808580,1-Yes,529,340,256,273,3,1,24,240,261,14.40,36.80
A C E,Texas,TX ,484158007009,4841580,†,8,2,3,5,="0",="0",="0",3,5,–,="0.00"
A C E ALTER                                       ,Texas,TX ,484128009007,4841280,†,8,5,6,2,="0",="0",="0",="0",8,2.60,3.10
A C E CTR                                         ,Texas,TX ,482025004253,4820250,†,109,56,65,44,="0",2,15,75,17,14.20,7.70
A C JONES H S,Texas,TX ,480972000442,4809720,1-Yes,1130,541,575,555,3,8,39,760,320,14.50,77.90
A E BUTLER INT,Texas,TX ,483624004074,4836240,1-Yes,437,224,231,206,11,2,4,30,390,15.10,29.00
A G COX MIDDLE,North Carolina,NC ,370001201488,3700012,†,981,368,493,488,2,14,514,16,435,16.40,60.00
A G ELDER EL,Texas,TX ,482493006126,4824930,1-Yes,632,316,321,311,="0",="0",11,84,537,15.50,40.90
A G RICHARDSON ELEM,Virginia,VA ,510105000374,5101050,2-No,525,–,249,276,="0",4,81,6,434,10.50,50.00
A H ROBERTS ELEMENTARY,Tennessee,TN ,470333001977,4703330,1-Yes,535,–,†,†,–,–,–,–,–,–,–
A H SNIPES ACADEMY OF ARTS/DES,North Carolina,NC ,370333001392,3703330,1-Yes,351,285,192,159,="0",3,262,2,84,12.50,28.00
A I M                                             ,Texas,TX ,481800006686,4818000,†,318,119,125,193,1,1,28,219,69,17.60,18.10
A J LLOYD MIDDLE SCHOOL                           ,Kentucky,KY ,210579001366,2105790,1-Yes,390,387,212,178,1,="0",2,5,382,14.40,27.00
A J MOORE ACADEMY,Texas,TX ,484428007685,4844280,1-Yes,651,522,294,357,1,4,289,235,122,14.80,43.90
A L BROWN HIGH,North Carolina,NC ,370243001039,3702430,†,1195,="0",619,576,2,21,420,106,646,14.60,82.00
A L LOTTS ELEMENTARY,Tennessee,TN ,470222000076,4702220,†,1060,–,†,†,–,–,–,–,–,–,–
A L P H A                                         ,Texas,TX ,480887006992,4808870,†,15,1,5,10,="0",="0",4,4,7,–,="0.00"
A L P H A CAMPUS                                  ,Texas,TX ,484317009293,4843170,†,3,–,1,2,="0",="0",1,="0",2,–,="0.00"
A L P H A CAMPUS,Texas,TX ,482622008646,4826220,†,4,="0",1,3,="0",="0",="0",="0",4,–,="0.00"
A L STANBACK MIDDLE,North Carolina,NC ,370348001441,3703480,†,819,269,435,384,4,6,217,19,573,16.10,51.00
A LEAL JR MIDDLE,Texas,TX ,482247002251,4822470,1-Yes,754,506,397,357,="0",="0",3,746,5,14.00,53.70
A M AIKIN EL,Texas,TX ,483240005558,4832400,1-Yes,809,375,422,387,2,1,18,105,683,16.10,50.40
A M DAVIS ELEM,Virginia,VA ,510084000314,5100840,†,665,173,370,295,7,10,293,26,329,14.80,45.00
A M OCHOA EL,Texas,TX ,481739001496,4817390,1-Yes,467,337,220,247,="0",="0",3,462,2,14.20,33.00
A M PATE EL,Texas,TX ,481970001898,4819700,1-Yes,479,403,231,248,="0",14,432,29,4,15.20,31.50
A M WINDHAM ELEMENTARY SCHOOL,Alabama,AL ,="010108001767",="0101080",1-Yes,498,302,273,225,1,5,187,23,282,13.40,37.30
A M YEALEY ELEMENTARY SCHOOL,Kentucky,KY ,210051000079,2100510,†,533,100,270,263,4,7,13,10,499,17.20,31.00
A N RICO EL,Texas,TX ,484496007002,4844960,1-Yes,891,147,446,445,="0",="0",="0",877,14,18.60,48.00
A P BEUTEL EL,Texas,TX ,481119000580,4811190,†,531,91,278,253,="0",20,20,88,403,16.30,32.50
A P SOLIS MIDDLE,Texas,TX ,481739007037,4817390,1-Yes,1127,943,577,550,1,="0",1,1117,8,13.60,83.10
A S CANAVAN EL,Texas,TX ,483774004227,4837740,1-Yes,389,="0",186,203,="0",="0",="0",389,="0",19.70,19.70
A T ALLEN ELEMENTARY,North Carolina,NC ,370053000208,3700530,2-No,426,182,225,201,2,1,54,22,347,15.20,28.00
A V CATO EL,Texas,TX ,481317000815,4813170,1-Yes,354,201,176,178,1,="0",1,147,205,17.70,20.00
A W JAMES ELEMENTARY SCHOOL,Mississippi,MS ,280135000199,2801350,1-Yes,228,216,125,103,="0",="0",204,="0",24,12.60,18.10
A+ ACADEMY EL,Texas,TX ,480020308758,4800203,2-No,147,129,86,61,1,="0",17,88,41,18.40,8.00
A. A. NELSON ELEMENTARY SCHOOL,Louisiana,LA ,220033000255,2200330,†,630,275,296,334,="0",23,140,5,462,19.10,33.00
A. A. SONGY SR. KINDERGARTEN CENTER,Louisiana,LA ,220144001151,2201440,†,196,76,100,96,="0",="0",52,5,139,15.10,13.00
A. C. CORCORAN ELEMENTARY,South Carolina,SC ,450144000199,4501440,1-Yes,524,374,269,255,2,16,336,12,158,15.70,33.40
A. C. FLORA HIGH,South Carolina,SC ,450336000952,4503360,†,1345,322,694,648,2,35,503,56,746,16.60,81.00
A. C. MOORE ELEMENTARY,South Carolina,SC ,450336000926,4503360,†,355,202,185,169,1,22,171,27,133,13.90,25.50
A. CRAWFORD MOSLEY HIGH SCHOOL,Florida,FL ,120009000067,1200090,†,2277,348,1150,1127,14,26,100,30,2107,19.00,120.00
A. D. HARRIS HIGH SCHOOL,Florida,FL ,120009000058,1200090,1-Yes,358,208,180,178,="0",3,132,4,219,14.90,24.00
A. E. PHILLIPS LABORATORY SCHOOL                  ,Louisiana,LA ,220099000750,2200990,†,265,="0",130,135,="0",2,26,6,231,18.30,14.50
A. HENDERSON ELEM,Virginia,VA ,510313002039,5103130,†,588,24,301,260,1,17,94,29,420,16.60,35.50
A. J. BROWN ELEMENTARY SCHOOL                     ,Louisiana,LA ,220099000740,2200990,1-Yes,177,133,82,95,="0",="0",177,="0",="0",19.70,9.00
A. J. LEWIS GREENVIEW ELEMENTARY,South Carolina,SC ,450336000919,4503360,1-Yes,524,402,279,244,="0",="0",521,1,1,15.90,33.00
A. K. SUTER ELEMENTARY SCHOOL,Florida,FL ,120051000811,1200510,†,269,88,135,134,1,11,54,5,198,15.80,17.00
A. L. MEBANE MIDDLE SCHOOL,Florida,FL ,120003000018,1200030,†,555,280,285,270,2,3,166,19,365,17.30,32.00
A. LINWOOD HOLTON GOV. SCH.,Virginia,VA ,510003301933,5100033,†,="0",†,="0",="0",="0",="0",="0",="0",="0",="0.00",1.10
A. MACEO WALKER MIDDLE SCHOOL,Tennessee,TN ,470294001939,4702940,1-Yes,1115,–,†,†,–,–,–,–,–,–,–
A. P. HILL ELEM.                                  ,Virginia,VA ,510291001193,5102910,1-Yes,292,289,133,159,="0",="0",284,2,6,9.40,31.00
A. PHILIP RANDOLPH ACADEMIES,Florida,FL ,120048000773,1200480,†,921,236,502,419,1,17,607,40,256,18.80,49.00
A. R. LEWIS ELEMENTARY,South Carolina,SC ,450333000889,4503330,2-No,298,174,157,141,="0",2,="0",3,293,13.00,22.90
A. R. RUCKER MIDDLE,South Carolina,SC ,450258001260,4502580,†,680,426,317,363,="0",4,403,2,271,13.60,50.00
A. R. WARE ELEM,Virginia,VA ,510369001610,5103690,2-No,395,130,198,197,4,="0",65,1,325,10.10,39.30
A. S. CLARK ELEMENTARY SCHOOL,Georgia,GA ,130156001512,1301560,1-Yes,417,347,215,202,="0",3,255,14,145,17.80,23.40
A. V. NORRELL ELEM.                               ,Virginia,VA ,510324001348,5103240,1-Yes,403,332,211,192,="0",2,399,2,="0",11.20,36.00
A. W. WATSON UPPER ELEMENTARY,Mississippi,MS ,280102001213,2801020,1-Yes,886,841,456,430,="0",1,879,="0",6,16.70,53.00
A.B. COMBS ELEMENTARY SCHOOL,Kentucky,KY ,210477001176,2104770,1-Yes,540,537,279,261,="0",="0",8,1,531,15.60,34.60
A.C. ALEXANDER ELEMENTARY SCHOOL,Louisiana,LA ,220084000578,2200840,1-Yes,633,528,335,298,="0",22,168,253,190,16.20,39.00
A.C. MOORE ELEM SCH,Alabama,AL ,="010135000482",="0101350",1-Yes,340,292,176,164,14,="0",224,3,99,15.50,22.00
A.C. STEERE ELEMENTARY SCHOOL,Louisiana,LA ,220030000198,2200300,†,436,100,248,188,1,6,77,2,350,13.90,31.30
A.C.E. CHARTER SCHOOL,Florida,FL ,120159004442,1201590,†,14,1,13,1,="0",="0",1,="0",13,–,="0.00"
A.D. CROSSMAN ELEMENTARY SCHOOL                   ,Louisiana,LA ,220117000872,2201170,1-Yes,500,460,251,249,="0",3,405,78,14,17.90,28.00
A.D. HENDERSON UNIVERSITY SCHOOL & FAU HIGH SCHOOL,Florida,FL ,120201203140,1202012,2-No,495,64,248,247,="0",22,115,93,265,19.80,25.00
A.J. JOLLY ELEMENTARY SCHOOL                      ,Kentucky,KY ,210090000181,2100900,2-No,153,69,71,82,="0",="0",2,="0",151,18.90,8.10
A.L. BURRUSS ELEMENTARY SCHOOL,Georgia,GA ,130351001338,1303510,†,546,182,279,267,="0",3,203,29,311,14.00,39.00
A.P. TUREAUD ELEMENTARY SCHOOL                    ,Louisiana,LA ,220117000869,2201170,1-Yes,317,309,161,156,="0",="0",317,="0",="0",15.10,21.00
A.QUINN JONES CENTER,Florida,FL ,120003000004,1200030,†,93,90,81,12,="0",="0",69,1,23,5.80,16.00
A.R. WARE ELEMENTARY SCHOOL,Virginia,VA ,510369001611,5103690,2-No,320,178,158,162,1,4,86,7,222,10.30,31.00
A.S. RHODES ELEM,Virginia,VA ,510387001729,5103870,†,228,32,118,110,="0",9,3,6,210,12.00,19.00
A.W.E. BASSETTE ELEM,Virginia,VA ,510180000725,5101800,1-Yes,376,280,193,183,="0",1,364,="0",11,9.00,42.00
